Area Name,Address,Rent,Violent CrimeRate,Overall CrimeRate,Bed,Bath
"South End","300 Harrison Ave. #2-524H-A South End","3688","0","0","1","1"
"Fenway","771 Beacon St. #B2-1204 Fenway","4028","0","0","N/A","1"
"Fenway","1260 Boylston St. #610 Fenway","3241","0","0","N/A","1"
"South End","300 Harrison Ave. #1-710H-A South End","3513","0","0","1","1"
"Dorchester","24 Oyster Bay Rd. #310210 Dorchester","3265","0","0","2","2"
"Brighton","175 Washington St. #3448 Brighton","2821","0","0","N/A","1"
"Brighton","175 Washington St. #1121 Brighton","3924","0","0","2","2"
"Brighton","175 Washington St. #3110 Brighton","4067","0","0","2","2"
"Fenway","49 Burbank St. #34807 Fenway","2610","0","0","N/A","1"
"Mission Hill","1575 Tremont St. #1103 Mission Hill","4336","0","0","2","1"
"Mission Hill","1575 Tremont St. #809 Mission Hill","4161","0","0","2","1"
"Dorchester","725 Adams St. #735008 Dorchester","2005","0","0","N/A","1"
"Allston","525 Lincoln St. #Various (3 bed) Allston","6000","0","0","3","2"
"Allston","525 Lincoln St. #Various (Studio) Allston","2950","0","0","N/A","1"
"Dorchester","18 Sumner St. #2 Dorchester","4800","0","0","4","3"
"Dorchester","307 Hancock St. #1 Dorchester","2000","0","0","1","1"
"Dorchester","303 Hancock St. #2 Dorchester","2000","0","0","1","1"
"Brighton","175 Washington St. #3130 Brighton","3051","0","0","N/A","1"
"Brighton","175 Washington St. #3146 Brighton","2882","0","0","N/A","1"
"Fenway","1260 Boylston St. #611 Fenway","3150","0","0","N/A","1"
"Brighton","1550 Soldiers Field Rd. #328 Brighton","3267","0","0","1","1"
"Fenway","1260 Boylston St. #1024 Fenway","3233","0","0","N/A","1"
"Dorchester","1943 Dorchester Ave. #202 Dorchester","2595","0","0","1","1"
"Brighton","175 Washington St. #3311 Brighton","3423","0","0","1","1"
"Jamaica Plain","201 South Huntington Ave. #201-313 Jamaica Plain","4300","0","0","1","1"
"South End","300 Harrison Ave. #2-327H-A South End","7941","0","0","3","2"
"Mission Hill","101 South Huntington Ave. #305 Mission Hill","4739","0","0","2","2"
"Mission Hill","1575 Tremont St. #904 Mission Hill","4396","0","0","2","1"
"Jamaica Plain","201 South Huntington Ave. #201-415 Jamaica Plain","4275","0","0","1","1"
"Brighton","9 Bronsdon St. #3B-D_14294 Brighton","3095","0","0","2","1"
"Mission Hill","75 Saint Alphonsus St. #1816 Mission Hill","3279","0","0","2","1.5"
"Allston","65 Brainerd Rd. #60-406 Allston","3688","0","0","2","1"
"Jamaica Plain","201 South Huntington Ave. #201-618 Jamaica Plain","3390","0","0","1","1"
"Dorchester","401 Mount Vernon St. #401-334 Dorchester","2600","0","0","1","1"
"Dorchester","401 Mount Vernon St. #401-327 Dorchester","2702","0","0","1","1"
"Mission Hill","101 South Huntington Ave. #509 Mission Hill","4248","0","0","1","1"
"Jamaica Plain","201 South Huntington Ave. #221-501 Jamaica Plain","4650","0","0","2","2"
"Dorchester","401 Mount Vernon St. #401-429 Dorchester","3482","0","0","2","2"
