Area Name,Address,Rent,Violent CrimeRate,Overall CrimeRate,Bed,Bath,Northeastern University_transit_distance,Northeastern University_transit_cost,Northeastern University_driving_distance,Boston University_transit_distance,Boston University_transit_cost,Boston University_driving_distance,Boston College_transit_distance,Boston College_transit_cost,Boston College_driving_distance
Allston,"6 Webley St.,Unit 3,Boston,MA,02134,Allston",2200,0,0,1,1,4977,4.1,6117,1865,1.7,1748,3762,2.4,4069
Allston,"168 Allston St.,Unit 7,Boston,MA,02134,Allston",2200,0,0,2,1,7231,4.1,4469,1860,2.4,1842,3407,2.4,3018
Allston,"80 Gardner St.,Unit 14,Boston,MA,02134,Allston",2200,0,0,1,1,4383,4.1,6187,842,0,1141,4984,2.4,4865
Jamaica Plain,"14 Lakeville Rd.,Unit 10,Boston,MA,02130,Jamaica Plain",2200,0,0,1,1,4462,1.7,3624,6488,3.4,4757,14268,4.1,6848
East Boston,"241 Havre St.,Unit 3,Boston,MA,02108,East Boston",2200,0,0,1,1,7309,4.1,7850,9690,2.4,7334,13920,4.1,18010
East Boston,"181 Paris St.,Unit 1,Boston,MA,02128,East Boston",2200,0,0,1,1,7815,2.4,7563,9731,2.4,7047,14426,2.4,17723
Jamaica Plain,"14 Lakeville Rd.,Unit 10,Boston,MA,02130,Jamaica Plain",2200,0,0,1,1,4462,1.7,3624,6488,3.4,4757,14268,4.1,6848
Brighton,"1148 Commonwealth Ave.,Unit 41,Boston,MA,02134,Brighton",2200,0,0,1,1,4183,2.4,4222,963,2.4,787,4323,2.4,4512
Jamaica Plain,"16 Lakeville Rd.,Unit 7,Boston,MA,02130,Jamaica Plain",2200,0,0,1,1,4478,1.7,3640,6504,3.4,4773,14284,4.1,6864
Allston,"80 Gardner St.,Unit 14,Boston,MA,02134,Allston",2200,0,0,1,1,4383,4.1,6187,842,0,1141,4984,2.4,4865
Jamaica Plain,"14 Lakeville Rd.,Unit 4,Boston,MA,02130,Jamaica Plain",2200,0,0,1,1,4462,1.7,3624,6488,3.4,4757,14268,4.1,6848
Jamaica Plain,"14 Lakeville Rd.,Unit 14,Boston,MA,02130,Jamaica Plain",2200,0,0,1,1,4462,1.7,3624,6488,3.4,4757,14268,4.1,6848
