Area Name,Address,Rent,Violent CrimeRate,Overall CrimeRate,Bed,Bath,Northeastern University_transit,Northeastern University_driving,Boston University_transit_distance,Boston University_driving_distance,Boston College_transit_distance,Boston College_driving_distance,Northeastern University_transit_cost,Boston University_transit_cost,Boston College_transit_cost
Roxbury,"73 Walnut Ave.,Unit 3,Boston,MA,02119,Roxbury",2600,0.38,0.07,2.0,1.0,2942.0,1924,6342.0,4728,12463.0,9086,1.7,3.4,5.8
Dorchester,"676 Adams St.,Unit 1,Boston,MA,02122,Dorchester",2600,0.284,0.37,2.0,1.0,10296.0,9891,13160.0,16104,20437.0,14383,4.1,3.4,2.4
Dorchester,"105 Buttonwood St.,Unit 2,Boston,MA,02125,Dorchester",2600,0.284,0.37,2.0,1.0,7599.0,3575,11879.0,10999,15270.0,19504,1.7,4.1,2.4
Dorchester,"103 Buttonwood St.,Unit 2,Boston,MA,02125,Dorchester",2600,0.284,0.37,2.0,1.0,7593.0,3569,11873.0,10993,15264.0,19498,1.7,4.1,2.4
Brighton,"11 Commonwealth Ct.,Unit 8,Boston,MA,02135,Brighton",2600,0.13,0.25,2.0,1.0,5516.0,4721,2296.0,2124,3361.0,2858,2.4,2.4,2.4
East Boston,"119 Webster St.,Unit 2,Boston,MA,02128,East Boston",2600,0.0,0.0,1.0,1.0,6687.0,8549,8603.0,8033,13298.0,18709,2.4,2.4,2.4
North End,"115 Salem St.,Unit FURNISHED,Boston,MA,02113,North End",2600,0.0,0.0,1.0,1.0,4702.0,6980,5783.0,5486,11223.0,18399,2.4,4.1,2.4
East Boston,"40 West Eagle St.,Unit 1,Boston,MA,02128,East Boston",2600,0.0,0.0,2.0,1.0,7807.0,8362,9723.0,7846,14418.0,18522,4.1,4.1,4.1
North End,"115 Salem St.,Unit FURNISHED,Boston,MA,02113,North End",2600,0.0,0.0,1.0,1.0,4702.0,6980,5783.0,5486,11223.0,18399,2.4,4.1,2.4
Brighton,"1550 Soldiers Field Rd.,Unit 404,Boston,MA,02135,Brighton",2604,0.13,0.25,1.0,1.0,10769.0,8280,5568.0,6786,4415.0,3708,5.1,3.4,4.1
Mission Hill,"75 Saint Alphonsus St.,Unit 1205,Boston,MA,02120,Mission Hill",2609,0.0,0.0,1.0,1.0,902.0,966,5314.0,2297,12405.0,6937,2.4,4.1,2.4
Dorchester,"24 Oyster Bay Rd.,Unit 290308,Boston,MA,02125,Dorchester",2615,0.284,0.37,1.0,1.0,9641.0,5542,12974.0,11755,15818.0,20260,1.7,1.7,2.4
